sentence,translated,fuel,machine,others,part,price,service
fortuner sparepart nya banyak dijual di mana-mana,sparepart Fortuner dijual di sude inganan,neutral,neutral,neutral,positive,neutral,neutral
"Alhamdullilah inden dari dealer wulling agustus awal mobil sudah datang , cepat .","Alhamdullilah,  Indent sian dealer Wulling awal Agustus on, nunga sahat mobil i, cepat.",neutral,neutral,neutral,neutral,neutral,positive
"Vario 125 sangat ringan dan nyaman dipakai untuk perempuan seperti saya , apalagi dibawa ke mana-mana sangat irit dan harga nya terjangkau dibandingkan motor honda yang lain .","Vario 125 on mansai ringan jala nyaman do dipangke angka ina songon ahu, tarlumobi molo mamboan tu dia pe, mansai hemat jala arga na terjangkau do molo dibandinghon tu motor Honda na asing.",positive,neutral,positive,neutral,positive,neutral
"Udah beli yg rush 2018 , alhamdulillah tidak ada penyesalan sampai saat ini dan insyaAllah seterusnya","Hu tuhor ma rush 2018 i, alhamdulillah  dang adong penyesalan sahat tu saonari jala insya Allah tu joloan ni ari",neutral,neutral,positive,neutral,neutral,neutral
handling mini cooper juara .,handling mini cooper juara.,neutral,neutral,neutral,positive,neutral,neutral
Saya sangat puas dengan mobil saya selain berbadan besar terlihat mewah dan sangat irit bahan bakar karena minum nya solar jadi mantap kijang innova,"Mansai puas do au tu mobilhu, asing sian badan na balga, mewah do idaon jala mansai hemat bahan bakar ala mamakke solar jadi Kijang Innova na hebat do i.",positive,neutral,positive,positive,neutral,neutral
xenia gak awet banget masa baru 6 bulan sudah bermasalah,"Xenia dang apala leleng, dung holan 6 bulan nunga bermasalah",neutral,neutral,negative,neutral,neutral,neutral
lama banget nunggu inden xpander keburu saya jual ini mobil,"Nga leleng hupaima pivot Xpander i, jadi hujual ma mobil on",neutral,neutral,neutral,neutral,neutral,negative
"Saya naik mazda CX3 sehari-hari . performa mantap , mobil nyaman tidak seperti honda hrv yang cenderung goyang-goyang","Marmobil mazda cx3 do au ganup ari. kinerja mantap, mobil nyaman ndang songon Honda HRV na cenderung goyang bolak-balik",neutral,neutral,negative,neutral,neutral,neutral
"Avanza guncangan mesin nya halus meski di jalan yang tak mulus , AC enggak menurun meski dinyalakan tanpa henti , dan mesin enggak cepat panas berlebih meski macet bermenit-menit .","Mesin ni Avanza on lancar do marhusor nang pe di dalan na so rata, AC ndang lam lambat nang pe dihidupkon so marnamantak, jala ndang hatop mohop mesinna nang pe marmenit-menit.",neutral,positive,neutral,positive,neutral,neutral
"Wuling Formo mobil cina, mesin nya enggak berumur panjang karena di cina juga enggak ada yang umur nya panjang.","Mobil Cina do Wuling Formo, ndang leleng mesinna alana di Cina dang adong na leleng.",neutral,negative,neutral,neutral,neutral,neutral
"Mobil honda emang keren , saya punya honda CRV tahun 2006 sampai sekarang masih mulus ,","Mobil Honda memang keren do, adong do Honda CRV di au taon 2006 sahat tu saonari tong do mardalan lancar,",neutral,neutral,positive,neutral,neutral,neutral
"Honda slalu nanggung dan maksa tiap kali melakukan upgrade mobil yangg sudah ada , membosankan","Honda sai nanggung jala dipaksa ganup naik upgrade mobil naung adong, mosos",neutral,neutral,negative,neutral,neutral,neutral
Bengkel ahas togosari service nya tidak memuaskan mekanik nya gak fokus dan jelek . tidak seperti dulu . gimana itu bos .,"Ndang memuaskan service di bengkel Ahas Togosari, mekanik pe ndang fokus jala buruk. dang songon najolo. boha do bos i?",neutral,neutral,neutral,neutral,neutral,negative
"Buat yang orientasi pengendara , Mitsubishi ini cocok banget mau mobil yang menyenangkan untuk dikendarai enak dibawa luar sama dalam kota","Molo angka na berorientasi tu supir, Mitsubishi on memang cocok do tu mobil na menyenangkan diboan jala mura diboan tu luar manang di kota.",neutral,neutral,positive,neutral,neutral,neutral
N - Max biaya perawatan mahal bakal lebih boros dari pada kamu naik angkutan umum,N - Maks biaya perawatan na mahal gabe lobi boros do i sian naik angkutan umum,neutral,neutral,neutral,neutral,neutral,negative
Fortuner lebih mewah lebih besar,Fortuner lebih mewah jala lebih balga,neutral,neutral,positive,neutral,neutral,neutral
"@DaihatsuInd Xenia itu kita banget ! Cocok diajak ke mana-mana , service gampang , harga terjangkau , mudah dipakai .","@DaihatsuInd Xenia do tutu hita! Cocok diboan manang tudia pe, service na mura, harga terjangkau, mura do dipangke.",neutral,neutral,positive,neutral,positive,positive
Kenapa saya pilih pajero karena saya sering pulang kampung waktu lebaran dan jalan nya kebanyakan jelek dan tanjakan nya full curam belom di aspal,Boasa ma hupillit Pajero ala jotjot do au mulak tu jabu molo lebaran jala dalan na godangan buruk jala lereng na mansai curam so adong aspal,neutral,positive,neutral,neutral,neutral,neutral
"Konsumsi bbm bisa dipaksa 1:12 kalau bawa nya waras , lumayan irit si Altis G 2003 MT ini","Konsumsi BBM boi dipaksa 1:12 molo diboan dohot cara na waras, Altis G 2003 MT on cukup hemat",positive,neutral,neutral,neutral,neutral,neutral
"harga purnajual memang Toyota lebih baik . tetapi ya orang macam gua mikir nya beli mobil ya buat dipakai , bukan dijual . Hehe","Arga purna jual ni Toyota on memang dumenggan do. Alai olo, halak songon ahu marpingkir, manuhor mobil i laho pangkeon do, ndang laho manggadis. Haha",neutral,neutral,neutral,neutral,positive,neutral
"@YamahaIndonesia pelayanan bengkel yamaha di poso jelek sekali bung , hari kemarin bilang nyuruh hari ini , hari ini datang bilang tidak bisa","@YamahaIndonesia Servis bengkel Yamaha di Poso memang buruk do, bro, nantoari disuru nasida sadarion, sadarion ro halaki mandok dang boi",neutral,neutral,neutral,neutral,neutral,negative
"Saya membeli Honda Beat ini pada tahun 2015 , sudah tiga tahun lama nya umur motor ini . Saya bekerja dengan jarak tempuh lumayan jauh dari rumah saya , tetapi terbukti hingga saat ini sangat irit bbm - nya , di lain sisi ada dobel rem yang membuat sepeda ini menjadi luar biasa .","Hutuhor Honda Beat on taon 2015, motor on nunga adong tolu taon. Au karejo agak dao sian jabukku, alai nunga terbukti sangat hemat bbm, di sisi na asing adong do rem ganda na mambahen sepeda on luar biasa.",positive,neutral,neutral,positive,neutral,neutral
Head Lamp Avanza juga menggunakan model terbaru . Dengan perubahan tersebut mobil ini memiliki desain yang lebih elegan juragan .,"Head Lamp Avanza pe mamakke model na terbaru. Dohot parubahan on, mobil on mardesain na lobi elegan bos.",neutral,neutral,neutral,positive,neutral,neutral
"saya menyesal beli mobilio, tetangga beli wuling cortez puas banget","Manolsoli ahu manuhor Mobilio, tetanggaku manuhor Wuling Cortez jala puas hian",neutral,neutral,positive,neutral,neutral,neutral
brio adalah salah satu mobil ekonomis untuk keluarga menengah,Brio ima mobil ekonomis untuk keluarga menengah,neutral,neutral,neutral,neutral,positive,neutral
"kaki-kaki juga aman normal jaya . belum pernah ganti sparepart apa pun kecuali oli radiator dan filter , mantap brio","patna pe aman jala biasa do. Dang hea diganti suku cadang kecuali oli radiator dohot saringan, hebat Brio",neutral,neutral,neutral,positive,neutral,neutral
"Ada satu lagi nih yang menurut saya sepele tetapi jadi kenikmatan , yaitu fitur Brake Hold di HRV","Adong dope sada na huhilala sepele alai menyenangkan, ima fitur Brake Hold di HRV",neutral,neutral,neutral,positive,neutral,neutral
xpander terlihat seperti mobil tahun 2020,xpander mirip mobil 2020,neutral,neutral,positive,neutral,neutral,neutral
Toyota rush terbaik di kelas nya dan terdepan di zaman nya .,Toyota Rush ima na paling denggan di kelasna jala di jolo ni zamanna.,neutral,neutral,positive,neutral,neutral,neutral
brio gak bagus sumpah .,Brio dang denggan sumpah.,neutral,neutral,negative,neutral,neutral,neutral
"Dipakai kerja tiap hari enggak pernah rewel , mesin bandel , sesuai dengan kebutuhan , BBM irit tiada banding .","Dipangke tu ulaon ganup ari, ndang hea rewel, mesinna andal, pas tu kebutuhanku, ekonomi bbm ndang tartandingi.",positive,positive,positive,neutral,neutral,neutral
mendingan Mitsubishi Xpander yang rata rata menang disegala aspek,Tumagon ma molo Mitsubishi Xpander monang rata-rata di sude aspek,neutral,neutral,positive,neutral,neutral,neutral
Kok bengkel toyota payah banget sih . Kata nya bakal dipanggil nomor nya tapi nomor nya manual :(,Boha do umbahen na songon i buruk ni bengkel Toyota. Didok ibana nomor i dipanggil alai nomor i manual :(,neutral,neutral,neutral,neutral,neutral,negative
cukup 10 menit untuk bersihkan injektor motor injeksi Yamaha :D arti nya motor injeksi YMH perawatan murah & mudah,Holan 10 menit do paiashon injektor ni motor injeksi Yamaha :D na marlapatan motor injeksi YMH adong perawatan na mura & mudah,neutral,neutral,neutral,neutral,neutral,positive
"Kekurangan dari Formo sekilas: minim fitur safety, kualitas finishing interior jelek.","Hahurangan ni Formo on sekilas: minim fitur safety, kualitas finish interior na hurang denggan.",neutral,neutral,neutral,negative,neutral,neutral
Susah banget telepon buat booking servis auto 2000 toyota ! Masa gue harus booking ke sana sih :(,Maol do tutu martelepon laho mamesan servis auto 2000 toyota! Tutu ikkon booking do au disi :(,neutral,neutral,neutral,neutral,neutral,negative
Yamaha motor injeksi nya lebih mudah dan murah perawatan nya,Motor injeksi Yamaha ummura jala ummura dipertahanhon,neutral,neutral,neutral,neutral,neutral,positive
"Pengalaman pakai HRV 1.5 E , berisik shockbreaker pas di tol cikampek dan terbanting-banting kalau duduk di belakang","Pengalaman mamangke HRV 1,5 E, shockbreaker berisik pas di jalan tol Cikampek dan banging pas duduk di pudi",neutral,neutral,neutral,negative,neutral,neutral
"Honda Beat bahan bakar sangat irit , ringan buat menyalip di jalanan macet , mesin tarikan enteng banget .","Honda Beat on sangat hemat bbm, ringan untuk menyalip di dalan na macet, mesinna manarik sangat mura.",positive,positive,positive,neutral,neutral,neutral
Mobil WULING CONFERO sangat layak untuk dipilih dan DIBELI sebagai mobil MPV yang nyaman dengan harga terjangkau .,Mobil WULING CONFERO on sangat layak dipillit jala DITUHORI sebagai mobil MPV na nyaman dengan harga terjangkau.,neutral,neutral,neutral,neutral,positive,neutral
Memilih Terios baru rasanya tidak keliru,Mamillit Terios na baru dang merasa sala,neutral,neutral,positive,neutral,neutral,neutral
"Xenia irit banget apalagi kalau lagi kere . coba matikan saja ac - nya , bisa jalan-jalan dengan 25.000 rupiah .","Hemat situtu do si Xenia, tarlumobi molo ngali. tinggal di coba pamatehon AC nai, boi do mardalani 25.000 rupiah.",positive,neutral,neutral,neutral,neutral,neutral
Mobil wuling confero S nyaman dipakai di medan petualangan .,Mobil Wuling Confero S nyaman dipangke di medan petualangan.,neutral,neutral,positive,neutral,neutral,neutral
Puas banget sama after sales-nya Nissan.,Mansai puas do au di Nissan purna jual.,neutral,neutral,neutral,neutral,neutral,positive
"Avanza mudah dalam perawatan ,","Avanza mura dijaga, ",neutral,neutral,neutral,neutral,neutral,positive
"kalau soal mesin dan bentuk toplah yamaha , kayak sekarang saya pakai nmax 2018 yang memang sudah lama saya incar , dari bentuk saya suka sekali .","Molo taringot tu mesin dohot bentuk ni top Yamaha, songon saonari on au mamakke NMAX 2018 na leleng hubereng-bereng, tung lomo do rohakku tu bentukna.",neutral,positive,neutral,positive,neutral,neutral
"masalah nya , Xenia 2005 kadang-kadang dasbor bunyi ,","masalahna, Xenia 2005 kadang dasbor mambaen ribut,",neutral,neutral,neutral,negative,neutral,neutral
"Dan cabin nya juga lebih luas fortuner , kalau pajero sempit apalagi di bagian depan","Jala kabinna pe lobi bidang do sian Fortuner, sedangkan Pajero sompit do, tarlumobi di jolo",neutral,neutral,neutral,negative,neutral,neutral
"Service bengkel pinggir jalan dibilang jelek hasil service di dealer resmi pelayanan jelek , scumbag honda","Service bengkel pinggir jalan didok buruk, hasil service di dealer resmi, pelayanan buruk, Honda na buruk",neutral,neutral,neutral,neutral,neutral,negative
selama ini pakai xexi lumayan enak dan nyaman juga .,"Saleleng on, mamakke Xexi cukup mantap jala nyaman do tong.",neutral,neutral,positive,neutral,neutral,neutral
"rata-rata bbm - nya luar kota juga bisa sampai 1:16 , irit banget mitsubishi","Rata-rata arga ni BBM di luar kota pe boi do sahat tu 1:16, mansai hemat do di Mitsubishi",positive,neutral,neutral,neutral,neutral,neutral
"1 kelemahan xenia , DUDUK DI BARIS PALING BELAKANG KAYAK NAIK UNTA ! GILA BERASA BANGET PUYENGNYA .","Kelemahan ni si Xenia, HUNDUL DI BARIS PUDI SONGON NA MANGUNDUK UNTA! GILA DO DO PUSING DO RASA.",neutral,neutral,neutral,negative,neutral,neutral
Tapi yang sangat jelek dari Freed adalah tarikan nya .,"Alai na hurang denggan sian si Freed, i ma seret na.",neutral,negative,neutral,neutral,neutral,neutral
Fortuner Itu Mobil Tenaga nya Lemah Harga Selangit,Fortuner ima mobil na gale gogona jala arga na marlobilobi,neutral,negative,neutral,neutral,negative,neutral
saya saranin beli vario aja suku cadang meadai purnajual juga oke,"Husaranhon ma holan manuhor Vario dohot suku cadang na memadai, purna jual pe oke do",neutral,neutral,neutral,positive,positive,neutral
"brio gak cocok dibawa pergi ke medan yang susah, lemah dia","Brio dang cocok di boan tu medan sulit, gale do",neutral,neutral,positive,neutral,neutral,neutral
"Simpel cocok dijuluki untuk nya Honda beat makin bertambah gaya desain minimalis namun juara di kelas nya , bahan bakar juara nya hemat ramah dan bersahabat dengan saku maupun di dompet , sukses selalu Honda one Heart","Sederhana, cocok tu goar julukanna, Honda Beat, gaya desain semakin minimalis alai juara di kelasna, juara hemat bahan bakar, ramah dan bersahabat tu kantong dan dompet, selalu sukses Honda one Heart",positive,neutral,neutral,positive,positive,neutral
"Soal tenaga yang kurang di ertiga juga agak mengganggu ,","Hurang daya di Ertiga pe agak mengganggu do,",neutral,negative,neutral,neutral,neutral,neutral
"New Veloz saya rasa udah banyak improvement nya , terutama di bagian suspensi nya dibanding sebelumnya . Mental mentul , body roll , limbung sudah berkurang .","Ninna rohakku nunga godang perbaikan na dibahen New Veloz on, tarlumobi di suspensi dibandingkon na jolo. mantul-mantul, body roll, ndang mantap nunga moru.",neutral,neutral,neutral,positive,neutral,neutral
@DaihatsuInd banyak yang mengeluh servis ke 2 di astra daihatsu mahal . tolong edukasikan ke bengkel-bengkel resmi jangan mainin harga atau sparepart yang bagus gak perlu diganti,"@DaihatsuInd godang do halak mangalualu molo service kedua di Astra Daihatsu on mahal. Tolong ma didik bengkel resmi, unang marmeam-meam dohot arga manang na suku cadang na denggan ndang pola diganti",neutral,neutral,neutral,neutral,neutral,negative
terus radio nya HRV nyala sendiri dengan volume maksimal . enggak bisa dimatikan dan dikecilkan .,"Dung i, marhidup ma radio HRV i sandiri di volume na maksimal. Ndang boi dipamate manang diorui.",neutral,neutral,neutral,negative,neutral,neutral
"wah AVS kamu irit banget kak , AVG saya saja sekitar 1:8 sampai 1:9 memang macet sih jalanan .","Wah, hemat hian do AVS muna i, bro, AVG ku holan sekitar 1:8 sahat tu 1:9, macet hian di dalan.",positive,neutral,neutral,neutral,neutral,neutral
"Fortuner adalah mobil impian saya . Ini adalah suv mahal memang , tetapi sepadan .","Fortuner  do mobil impianku. On ma SUV na arga memang, alai berharga do.",neutral,neutral,neutral,neutral,negative,neutral
"kalau melihat spesifikasi nya, harga ertiga cukup ramah di kantong","Molo binereng spesifikasi na, harga ni Ertiga cukup ramah kantong",neutral,neutral,neutral,neutral,positive,neutral
Ternyata perawatan yamaha rata rata lebih murah dari kompetitor .,Ternyata perawatan ni Yamaha rata-rata ummura sian pesaingna.,neutral,neutral,neutral,neutral,neutral,positive
"Sudah dua tahun saya memiliki motor Honda Beat ini , motor ini keseharian nya saya pergunakan untuk antar anak sekolah dan bekerja . Motor yang lumayan gesit , lincah dan irit BBM .","Nunga dua taon motor Honda Beat on hupangke ganup ari laho mamboan angka gellenghu tu singkola dohot karejo. Motor na cukup lincah, lincah jala hemat bbm.",positive,positive,neutral,neutral,neutral,neutral
Pajero mempunyai mesin yang lebih bertenaga dan banyak fitur,Pajero memiliki mesin na lobi gogo jala godang fiturna,neutral,positive,neutral,positive,neutral,neutral
suzuki ignis dan Daihatsu sirion harga jual nya juga enggak stabil,Harga jual suzuki ignis dan daihatsu sirion juga tidak stabil,neutral,neutral,neutral,neutral,negative,neutral
kalau menurut gue suspensi avanza agak aneh . kalau cuma berdua suspensi nya berasa keras banget . tetapi kalau diisi penuh 6 - 7 orang suspensi nya mantap betul .,"Menurut au, agak asing do suspensi ni Avanza on. Molo holan dua halak hami, tung mansai borat do dihilala gantung i. alai molo diisi 6-7 halak, mantap do tutu suspensi i",neutral,neutral,neutral,negative,neutral,neutral
"kalau sudah di atas 120 km / jam boros banget avanza saya , terus kopling nya memang agak keras juragan .","Molo di ginjang ni 120 km/jam, boros do tutu Avanzak ku, jala koplingna pe agak kaku do, Bos.",negative,neutral,neutral,negative,neutral,neutral
"Pertama kali memiliki mobil ini rasanya seperti mimpi , karena setelah dapat mobil ternyata menang undian juga 10 juta rupiah dari Daihatsu . Mobil irit , servis mudah dan murah .","Parjolo sahali ahu nampuna mobil on, songon na marnipi do huhilala, ai dung dapot ahu mobil i, dohot do ahu monang lotre 10 juta rupiah sian Daihatsu. Mobil hemat bahan bakar, pelayanan na mura jala murah.",positive,neutral,neutral,neutral,neutral,positive
mendingan vrz 4*4 sekalian fitur lengkap spoiler bisa beli di toko variasi,Tumagon ma manuhor VRZ 4*4 na lengkap fitur spoilerna di toko variasi,neutral,neutral,neutral,positive,neutral,neutral
Rush konde konsumsi BBM yang tetap irit .,Konsumsi BBM bun buru-buru tetap hemat.,negative,neutral,neutral,neutral,neutral,neutral
Xenia memang masih kurang dari segi keamanan nya . Air bag - nya kagak ada bos .,"Hurang dope si Xenia sian segi keamanan. Dang adong kantong udara, bos.",neutral,neutral,neutral,positive,neutral,neutral
Pajero sport Dakar memang di atas Fortuner,Pajero Sport Dakar memang di atas Fortuner .,neutral,neutral,negative,neutral,neutral,neutral
Dulu gue enggak suka sama xpander .,Najolo dang lomo rohakku tu Xpander on.,neutral,neutral,negative,neutral,neutral,neutral
Altis gen 11 pas lah buat yang cari kenyamanan berkendara,Altis generasi ke-11 on pas do tu angka na mangalului kenyamanan berkendara .,neutral,neutral,positive,neutral,neutral,neutral
"Fortuner saya kok setir nya agak enggak enak gitu , ya . Enggak luwes .",Boasa agak ndang nyaman huhilala stir ni Fortunerhu? Ndang fleksibel.,neutral,neutral,neutral,negative,neutral,neutral
Putaran bawah mesin fortuner sangat kuat,Putaran na di toru ni mesin Fortuner on mansai gogo .,neutral,positive,neutral,neutral,neutral,neutral
jujur fortuner ini bandel banget dipakai di medan apa pun,Jujur Fortuner on memang tangkas do dipangke di medan na dia pe.,neutral,positive,neutral,neutral,neutral,neutral
pengalaman saya punya avanza bahan bakar nya lebih hemat daripada ketika saya punya xenia,"Di pengalamanku marmotor Avanza, hemat do BBM na sian tikki marmotor Xenia.",negative,neutral,neutral,neutral,neutral,neutral
